Bi_grams,Frequency
"('QT_QTC', 'JJ')",53
"('N_NNP', 'RB')",53
"('PSP', 'N_NNP')",52
"('CC_CCS_UT', 'V_VM_VNF')",52
"('V_VM_VINF', 'RD_PUNC')",52
"('RP_INTF', 'V_VM_VF')",51
"('N_NNP', 'CC_CCD')",50
"('N_NST', 'N_NNP')",50
"('RP_RPD', 'JJ')",49
"('RP_INTF', 'JJ')",49
"('RD_SYM', 'RD_SYM')",49
"('RD_SYM', 'V_VM_VNF')",48
"('RD_PUNC', 'V_VM_VINF')",48
"('V_VM_VINF', 'N_NNP')",47
"('PR_PRP', 'QT_QTF')",46
"('QT_QTC', 'V_VM_VNF')",46
"('RD_PUNC', 'RP_RPD')",46
"('CC_CCS', 'N_NN')",44
"('RP_CL', 'N_NN')",44
"('N_NNP', 'N_NST')",44
"('N_NN', 'CC_CCS')",43
"('DM_DMD', 'N_NST')",43
"('QT_QTF', 'V_VM_VF')",42
"('DM_DMD', 'RB')",42
"('V_VM_VNF', 'RP_INTF')",42
"('N_NST', 'JJ')",42
"('PR_PRP', 'DM_DMD')",42
"('V_VM_VINF', 'JJ')",41
"('RB', 'JJ')",41
"('V_VM_VNF', 'V_VM_VNG')",41
"('RB', 'QT_QTC')",41
"('N_NST', 'PSP')",40
"('N_NNP', 'RD_SYM')",40
"('QT_QTC', 'V_VM_VF')",39
"('JJ', 'PR_PRP')",39
"('RB', 'RB')",38
"('QT_QTF', 'RP_CL')",38
"('QT_QTF', 'V_VM_VNF')",38
"('RB', 'N_NNP')",38
"('PR_PRP', 'RP_RPD')",38
"('V_VM_VNF', 'PSP')",37
"('PSP', 'N_NST')",37
"('V_VM_VNF', 'CC_CCS_UT')",37
"('RB', 'V_VM_VNG')",36
"('DM_DMQ', 'QT_QTC')",35
"('CC_CCD', 'N_NNP')",35
"('N_NN', 'QT_QTO')",34
"('V_VM_VINF', 'V_VM_VNF')",34
"('QT_QTC', 'N_NNP')",34
"('CC_CCD', 'JJ')",33
"('RP_NEG', 'N_NN')",33
"('RD_PUNC', 'RP_INJ')",33
"('RP_RPD', 'QT_QTC')",32
"('V_VM_VINF', 'QT_QTF')",32
"('CC_CCD', 'V_VM_VNF')",31
"('QT_QTC', 'CC_CCD')",31
"('RP_INJ', 'RD_PUNC')",31
"('V_VM_VNF', 'RP_NEG')",30
"('V_VAUX', 'N_NN')",29
"('QT_QTF', 'RB')",29
"('N_NNP', 'V_VM_VINF')",29
"('JJ', 'N_NNP')",29
"('JJ', 'QT_QTC')",29
"('RP_RPD', 'RB')",28
"('DM_DMR', 'RB')",28
"('RB', 'DM_DMD')",27
"('RP_INTF', 'V_VM_VNF')",27
"('CC_CCD', 'RB')",27
"('QT_QTF', 'JJ')",26
"('RD_SYM', 'N_NST')",25
"('V_VM_VINF', 'RB')",25
"('N_NNP', 'RP_INTF')",25
"('N_NST', 'N_NST')",25
"('PR_PRP', 'DM_DMR')",24
"('DM_DMD', 'QT_QTC')",24
"('CC_CCS_UT', 'PR_PRP')",24
"('RD_SYM', 'JJ')",23
"('RB', 'N_NST')",23
"('RD_UNK', 'RD_PUNC')",23
"('PSP', 'DM_DMD')",22
"('RP_RPD', 'DM_DMD')",22
"('QT_QTC', 'V_VM_VINF')",22
"('DM_DMQ', 'JJ')",21
"('DM_DMQ', 'RB')",21
"('PR_PRP', 'V_VM_VNG')",21
"('V_VM_VINF', 'DM_DMD')",21
"('N_NST', 'DM_DMD')",20
"('JJ', 'V_VM_VNF')",20
"('RP_RPD', 'QT_QTF')",20
"('DM_DMR', 'QT_QTC')",20
"('RP_RPD', 'N_NST')",20
"('RD_PUNC', 'CC_CCS')",20
"('RD_SYM', 'V_VM_VF')",20
"('CC_CCD', 'V_VM_VF')",20
"('CC_CCD', 'DM_DMD')",20
"('RD_SYM', 'PSP')",20
"('RB', 'RP_RPD')",20
"('QT_QTC', 'N_NST')",19
"('CC_CCS', 'RD_PUNC')",19
"('QT_QTC', 'RP_CL')",19
"('RP_RPD', 'N_NNP')",19
"('RD_PUNC', 'RD_UNK')",19
"('DM_DMD', 'JJ')",18
"('DM_DMR', 'JJ')",18
"('V_VM_VNG', 'V_VAUX')",18
"('N_NST', 'RP_RPD')",18
"('PSP', 'QT_QTF')",18
"('RB', 'DM_DMQ')",18
"('DM_DMQ', 'PR_PRP')",18
"('RD_SYM', 'DM_DMR')",17
