,Four_grams,Frequency
84,"('N_NN', 'N_NN', 'N_NN', 'PR_PRP')",123
85,"('N_NN', 'V_VM_VNF', 'JJ', 'N_NN')",120
86,"('N_NN', 'V_VM_VNF', 'RD_PUNC', 'PR_PRP')",120
87,"('N_NN', 'N_NN', 'RB', 'N_NN')",118
88,"('RD_PUNC', 'N_NN', 'V_VM_VNF', 'RD_PUNC')",118
89,"('N_NN', 'N_NN', 'N_NN', 'JJ')",117
90,"('JJ', 'N_NN', 'N_NN', 'V_VM_VNF')",117
91,"('RB', 'N_NN', 'V_VM_VF', 'RD_PUNC')",117
92,"('N_NN', 'N_NN', 'V_VM_VNF', 'V_VAUX')",116
93,"('V_VM_VNF', 'N_NN', 'V_VM_VNF', 'RD_PUNC')",116
94,"('PR_PRP', 'N_NN', 'N_NN', 'V_VM_VF')",115
95,"('N_NN', 'PR_PRP', 'N_NN', 'V_VM_VNF')",115
96,"('N_NN', 'RD_PUNC', 'N_NN', 'QT_QTC')",115
97,"('N_NN', 'N_NN', 'RD_PUNC', 'RD_PUNC')",114
98,"('PR_PRP', 'N_NN', 'V_VM_VNF', 'RD_PUNC')",113
99,"('DM_DMR', 'N_NN', 'N_NN', 'N_NN')",112
100,"('N_NN', 'V_VM_VNF', 'V_VM_VNF', 'RD_PUNC')",112
101,"('N_NN', 'JJ', 'N_NN', 'V_VM_VNF')",111
102,"('N_NNP', 'RD_PUNC', 'QT_QTC', 'RD_PUNC')",110
103,"('N_NN', 'CC_CCD', 'N_NN', 'N_NN')",109
104,"('N_NN', 'RD_PUNC', 'PR_PRP', 'N_NN')",108
105,"('N_NN', 'RD_SYM', 'N_NN', 'RD_SYM')",107
106,"('V_VM_VNF', 'RD_PUNC', 'N_NN', 'RD_PUNC')",106
107,"('N_NST', 'N_NN', 'N_NN', 'N_NN')",105
108,"('PSP', 'N_NN', 'N_NN', 'N_NN')",103
109,"('V_VM_VNF', 'RD_PUNC', 'N_NN', 'V_VM_VNF')",103
110,"('N_NN', 'PR_PRP', 'V_VM_VF', 'RD_PUNC')",101
111,"('JJ', 'N_NN', 'N_NN', 'RD_PUNC')",101
112,"('QT_QTC', 'RD_PUNC', 'QT_QTC', 'RD_PUNC')",101
113,"('RD_PUNC', 'N_NN', 'N_NN', 'V_VM_VF')",100
114,"('RB', 'V_VM_VNF', 'N_NN', 'N_NN')",99
115,"('N_NN', 'N_NN', 'CC_CCD', 'N_NN')",99
116,"('V_VM_VNF', 'RD_PUNC', 'PR_PRP', 'N_NN')",99
117,"('RD_PUNC', 'RD_PUNC', 'N_NN', 'RD_PUNC')",99
118,"('N_NN', 'RD_PUNC', 'N_NN', 'V_VM_VF')",98
119,"('N_NN', 'RB', 'N_NN', 'N_NN')",98
120,"('N_NN', 'JJ', 'N_NN', 'RD_PUNC')",96
121,"('JJ', 'N_NN', 'V_VM_VNF', 'N_NN')",95
122,"('N_NN', 'RD_SYM', 'N_NN', 'N_NN')",95
123,"('RD_SYM', 'N_NN', 'RD_SYM', 'N_NN')",94
124,"('QT_QTC', 'N_NN', 'N_NN', 'V_VM_VNF')",94
125,"('N_NN', 'N_NN', 'N_NST', 'N_NN')",94
126,"('PSP', 'N_NN', 'V_VM_VF', 'RD_PUNC')",93
127,"('N_NN', 'N_NN', 'RD_SYM', 'N_NN')",93
128,"('JJ', 'N_NN', 'N_NN', 'V_VM_VF')",93
129,"('RD_PUNC', 'N_NNP', 'N_NN', 'N_NN')",93
130,"('V_VM_VNF', 'PR_PRP', 'N_NN', 'N_NN')",92
131,"('N_NN', 'N_NST', 'N_NN', 'N_NN')",91
132,"('N_NN', 'RB', 'V_VM_VNF', 'RD_PUNC')",90
133,"('N_NN', 'N_NN', 'QT_QTC', 'RD_PUNC')",89
134,"('N_NN', 'V_VM_VNF', 'QT_QTC', 'N_NN')",89
135,"('V_VM_VNF', 'V_VM_VNF', 'N_NN', 'N_NN')",89
136,"('N_NN', 'PSP', 'V_VM_VNF', 'N_NN')",87
137,"('N_NN', 'N_NNP', 'N_NN', 'N_NN')",87
138,"('V_VM_VINF', 'N_NN', 'V_VM_VF', 'RD_PUNC')",86
139,"('N_NN', 'PR_PRP', 'N_NN', 'RD_PUNC')",85
140,"('N_NNP', 'N_NN', 'V_VM_VF', 'RD_PUNC')",85
141,"('RD_PUNC', 'QT_QTC', 'RD_PUNC', 'RD_PUNC')",85
142,"('N_NST', 'N_NN', 'V_VM_VF', 'RD_PUNC')",84
143,"('RD_SYM', 'N_NN', 'N_NN', 'N_NN')",83
144,"('N_NN', 'V_VM_VINF', 'N_NN', 'RD_PUNC')",83
145,"('PR_PRP', 'N_NN', 'RD_PUNC', 'N_NN')",83
146,"('N_NN', 'PSP', 'V_VM_VF', 'RD_PUNC')",82
147,"('RB', 'N_NN', 'N_NN', 'N_NN')",82
148,"('N_NN', 'N_NN', 'N_NN', 'N_NST')",81
149,"('CC_CCD', 'N_NN', 'N_NN', 'N_NN')",81
150,"('N_NN', 'N_NN', 'N_NN', 'N_NNP')",81
151,"('QT_QTC', 'N_NN', 'RD_PUNC', 'N_NN')",81
152,"('DM_DMD', 'N_NN', 'N_NN', 'V_VM_VNF')",80
153,"('RD_PUNC', 'JJ', 'N_NN', 'N_NN')",79
154,"('N_NN', 'RD_PUNC', 'QT_QTC', 'RD_PUNC')",79
155,"('N_NN', 'RD_PUNC', 'JJ', 'N_NN')",79
156,"('QT_QTC', 'RD_PUNC', 'N_NN', 'RD_PUNC')",79
157,"('N_NN', 'PR_PRP', 'N_NN', 'V_VM_VF')",77
158,"('RD_PUNC', 'QT_QTC', 'RD_PUNC', 'QT_QTC')",77
159,"('N_NN', 'N_NN', 'N_NNP', 'N_NN')",77
160,"('N_NN', 'PSP', 'N_NN', 'V_VM_VNF')",77
161,"('N_NN', 'N_NN', 'RP_RPD', 'N_NN')",76
162,"('QT_QTF', 'N_NN', 'V_VM_VF', 'RD_PUNC')",76
163,"('N_NN', 'V_VM_VNF', 'DM_DMD', 'N_NN')",75
164,"('QT_QTC', 'N_NN', 'N_NN', 'V_VM_VF')",74
165,"('N_NN', 'N_NST', 'V_VM_VF', 'RD_PUNC')",74
166,"('RD_PUNC', 'N_NNP', 'N_NN', 'RD_PUNC')",73
167,"('N_NN', 'JJ', 'N_NN', 'V_VM_VF')",73
168,"('RD_PUNC', 'N_NN', 'QT_QTC', 'N_NN')",72
169,"('N_NN', 'PSP', 'N_NN', 'RD_PUNC')",72
