,Tri_grams,Frequency
106,"('N_NN', 'V_VM_VNF', 'JJ')",146
107,"('RD_PUNC', 'DM_DMD', 'N_NN')",146
108,"('N_NST', 'V_VM_VF', 'RD_PUNC')",146
109,"('N_NNP', 'N_NNP', 'N_NN')",145
110,"('N_NN', 'N_NN', 'V_VM_VNG')",142
111,"('N_NNP', 'RD_PUNC', 'QT_QTC')",142
112,"('N_NN', 'V_VM_VNF', 'RB')",141
113,"('N_NN', 'PR_PRP', 'V_VM_VNF')",140
114,"('RB', 'N_NN', 'V_VM_VNF')",140
115,"('V_VM_VNF', 'QT_QTC', 'N_NN')",137
116,"('N_NNP', 'N_NN', 'V_VM_VNF')",137
117,"('PR_PRP', 'JJ', 'N_NN')",136
118,"('V_VM_VINF', 'N_NN', 'RD_PUNC')",135
119,"('RD_PUNC', 'N_NN', 'RB')",135
120,"('N_NNP', 'RD_PUNC', 'RD_PUNC')",134
121,"('V_VM_VINF', 'N_NN', 'V_VM_VNF')",132
122,"('RD_PUNC', 'CC_CCD', 'N_NN')",130
123,"('PR_PRP', 'PR_PRP', 'N_NN')",128
124,"('V_VM_VNF', 'DM_DMD', 'N_NN')",125
125,"('PSP', 'V_VM_VF', 'RD_PUNC')",123
126,"('RD_PUNC', 'V_VM_VNF', 'N_NN')",123
127,"('PSP', 'V_VM_VNF', 'N_NN')",123
128,"('N_NN', 'N_NST', 'V_VM_VNF')",121
129,"('N_NN', 'V_VM_VNF', 'QT_QTC')",120
130,"('RD_SYM', 'QT_QTC', 'RD_SYM')",119
131,"('RB', 'N_NN', 'V_VM_VF')",118
132,"('N_NST', 'N_NN', 'V_VM_VNF')",115
133,"('N_NNP', 'N_NNP', 'RD_PUNC')",115
134,"('PSP', 'N_NN', 'V_VM_VNF')",114
135,"('N_NN', 'V_VM_VNF', 'N_NNP')",113
136,"('RD_PUNC', 'N_NN', 'PSP')",113
137,"('DM_DMQ', 'N_NN', 'N_NN')",113
138,"('V_VM_VNF', 'RD_PUNC', 'RD_PUNC')",112
139,"('N_NN', 'DM_DMR', 'N_NN')",111
140,"('DM_DMQ', 'N_NN', 'V_VM_VNF')",109
141,"('V_VM_VNF', 'RD_PUNC', 'V_VM_VNF')",106
142,"('V_VM_VNF', 'RD_PUNC', 'N_NNP')",104
143,"('RD_PUNC', 'N_NNP', 'N_NNP')",103
144,"('N_NN', 'PR_PRP', 'V_VM_VF')",101
145,"('N_NST', 'V_VM_VNF', 'N_NN')",101
146,"('N_NN', 'RD_PUNC', 'V_VM_VNF')",101
147,"('RD_PUNC', 'N_NN', 'PR_PRP')",101
148,"('RD_PUNC', 'RD_PUNC', 'PR_PRP')",101
149,"('RD_PUNC', 'V_VM_VF', 'RD_PUNC')",100
150,"('PR_PRP', 'V_VM_VNF', 'RD_PUNC')",99
151,"('N_NN', 'N_NN', 'QT_QTF')",98
152,"('N_NN', 'RP_INTF', 'N_NN')",98
153,"('N_NNP', 'V_VM_VF', 'RD_PUNC')",96
154,"('PR_PRP', 'N_NN', 'PR_PRP')",95
155,"('QT_QTC', 'RD_PUNC', 'RD_PUNC')",95
156,"('RD_PUNC', 'V_VM_VNF', 'RD_PUNC')",95
157,"('N_NN', 'V_VM_VNF', 'N_NST')",94
158,"('V_VM_VNF', 'N_NN', 'QT_QTC')",94
159,"('V_VM_VNF', 'N_NN', 'PR_PRP')",94
160,"('PSP', 'N_NN', 'V_VM_VF')",93
161,"('V_VM_VNF', 'N_NN', 'RB')",92
162,"('N_NN', 'RD_PUNC', 'JJ')",91
163,"('RD_PUNC', 'N_NN', 'V_VM_VINF')",91
164,"('N_NN', 'DM_DMQ', 'V_VM_VNF')",91
165,"('N_NN', 'DM_DMQ', 'N_NN')",91
166,"('QT_QTC', 'N_NN', 'QT_QTC')",90
167,"('PSP', 'N_NN', 'RD_PUNC')",90
168,"('N_NNP', 'N_NN', 'V_VM_VF')",89
169,"('V_VM_VINF', 'N_NN', 'V_VM_VF')",88
170,"('DM_DMQ', 'V_VM_VNF', 'RD_PUNC')",88
171,"('QT_QTC', 'RD_SYM', 'QT_QTC')",87
172,"('RD_PUNC', 'N_NN', 'JJ')",86
173,"('CC_CCS_UT', 'V_VM_VF', 'RD_PUNC')",86
174,"('PR_PRP', 'V_VM_VINF', 'N_NN')",84
175,"('N_NST', 'N_NN', 'V_VM_VF')",84
176,"('N_NN', 'N_NN', 'DM_DMQ')",84
177,"('N_NN', 'V_VM_VNF', 'DM_DMD')",84
178,"('N_NN', 'QT_QTC', 'QT_QTC')",84
179,"('N_NN', 'PSP', 'V_VM_VF')",83
180,"('N_NN', 'V_VM_VNF', 'RP_RPD')",83
181,"('V_VM_VNF', 'N_NN', 'PSP')",81
182,"('QT_QTC', 'QT_QTC', 'N_NN')",81
183,"('RB', 'V_VM_VINF', 'N_NN')",80
